Empresa,País,Receita
Samsung Electronics¹,Coréia do Sul,78.430
Intel,EUA,70.848
SK Hynix,Coréia do Sul,36.761
Taiwan Semiconductor Manufacturing Company (TSMC),Taiwan,34.197
Micron,EUA,30.391
Broadcom,Singapura²,20.848
Qualcomm¹,EUA,17.400
Texas Instruments,EUA,15.784
Nvidia,EUA,11.716
Toshiba Memory Corporation⁴,Japão,11.444
Western Digital¹,EUA,10.117
STMicroelectronics,Suíça,9.612
NXP,Países Baixos,9.407
Infineon,Alemanha,8.968
Sony Semiconductor¹,Japão,7.962
MediaTek,Taiwan,7.892
HiSilicon (Huawei)¹,China,7.573
Apple¹ ³,EUA,7.449
Renesas¹,Japão,6.703
AMD,EUA,6.475
Analog Devices,EUA,6.201
GlobalFoundries⁵,EUA,6.200
United Microelectronics Corporation (UMC),Taiwan,5.015
Semiconductor Manufacturing International Corporation (SMIC),China,3.360
Powerchip Technology,Taiwan,1.402
Tower Semiconductor ,Israel,1.304
Vanguard International Semiconductor,Taiwan,959
Hua Hong Semiconductor,China,930
DB HiTek⁶,Coréia do Sul,608
X-FAB Silicon Foundries,Bélgica,588
